neighbourhood_group,neighbourhood,average_price,total_listings,number_of_hosts,average_minimum_nights,average_reviews_per_month
Bronx,Allerton,87.5952380952381,42,27,2.2142857142857144,1.7014285714285713
Bronx,Baychester,75.42857142857143,7,5,2.4285714285714284,1.9942857142857144
Bronx,Belmont,79.30434782608695,23,18,2.217391304347826,1.7356521739130435
Bronx,Bronxdale,57.10526315789474,19,18,2.8947368421052633,1.7278947368421052
Bronx,Castle Hill,63.0,9,3,2.3333333333333335,1.1766666666666667
Bronx,City Island,173.0,18,16,2.0555555555555554,1.8277777777777777
Bronx,Claremont Village,88.91304347826087,23,19,2.217391304347826,1.663478260869565
Bronx,Clason Point,112.76190476190476,21,14,2.0476190476190474,1.4766666666666666
Bronx,Co-op City,77.5,2,2,2.5,0.245
Bronx,Concourse,85.79591836734694,49,41,2.0408163265306123,1.6244897959183673
Bronx,Concourse Village,73.25806451612904,31,30,2.3548387096774195,1.2683870967741935
Bronx,East Morrisania,94.44444444444444,9,5,1.3333333333333333,2.6244444444444444
Bronx,Eastchester,141.69230769230768,13,2,1.6923076923076923,0.5169230769230769
Bronx,Edenwald,81.33333333333333,12,10,2.0833333333333335,1.5883333333333332
Bronx,Fieldston,73.27272727272727,11,10,2.090909090909091,1.0018181818181817
Bronx,Fordham,70.31666666666666,60,37,2.2333333333333334,1.3731666666666666
Bronx,Highbridge,69.4,25,17,2.32,2.0028
Bronx,Hunts Point,59.55555555555556,9,7,2.111111111111111,1.9622222222222223
Bronx,Kingsbridge,80.80952380952381,63,51,2.3015873015873014,1.536190476190476
Bronx,Longwood,92.70491803278688,61,49,2.377049180327869,1.6129508196721312
Bronx,Melrose,83.3,10,10,3.1,1.292
Bronx,Morris Heights,76.94117647058823,17,15,1.8235294117647058,1.5294117647058822
Bronx,Morris Park,69.33333333333333,15,9,2.933333333333333,1.3373333333333333
Bronx,Morrisania,83.44444444444444,18,14,2.2222222222222223,1.2055555555555555
Bronx,Mott Haven,88.91666666666667,60,48,2.35,2.226833333333333
Bronx,Mount Eden,58.5,6,6,1.8333333333333333,1.6066666666666667
Bronx,Mount Hope,84.1875,16,15,2.125,1.4168749999999999
Bronx,North Riverdale,74.875,8,6,2.375,1.12375
Bronx,Norwood,77.2,30,29,2.8333333333333335,1.0396666666666667
Bronx,Olinville,77.0,3,3,1.3333333333333333,1.1966666666666668
Bronx,Parkchester,69.05263157894737,38,28,2.210526315789474,1.4149999999999998
Bronx,Pelham Bay,105.0,17,15,2.764705882352941,1.706470588235294
Bronx,Pelham Gardens,95.48148148148148,27,22,2.037037037037037,2.3414814814814813
Bronx,Port Morris,73.65853658536585,41,22,2.1463414634146343,1.769268292682927
Bronx,Riverdale,477.3,10,8,2.9,1.1400000000000001
Bronx,Schuylerville,69.23076923076923,13,7,2.1538461538461537,3.1576923076923076
Bronx,Soundview,53.46666666666667,15,10,2.1333333333333333,2.066
Bronx,Spuyten Duyvil,180.0,3,3,2.3333333333333335,0.9466666666666667
